No.,Language,Region,Tonal,Song,Genre,Year,Decade,SD,AvgRollDiff,AvgSD5,AvgSD10,AvgSD20,AvgSD50,AvgSD100
1,Vietnamese,Southeast Asia,1,Túy Âm,Pop,2017,2010s,458.13,106.20,129.74,183.46,230.32,283.87,320.62
2,Vietnamese,Southeast Asia,1,Lạc Trôi,Pop,2020,2020s,373.24,96.36,114.65,158.44,196.35,235.88,261.89
3,Vietnamese,Southeast Asia,1,Đường Lên Đỉnh Vinh Quang,Rock,2020,2020s,432.92,131.25,154.31,210.51,254.68,302.61,329.73
4,Vietnamese,Southeast Asia,1,See Tình,Pop,2022,2020s,481.89,94.93,115.86,167.94,218.05,283.37,330.29
5,Vietnamese,Southeast Asia,1,2 Phút,Pop,2017,2010s,339.84,93.16,115.76,170.30,218.77,259.05,284.51
6,Vietnamese,Southeast Asia,1,Xe Đạp,Pop,2009,2000s,373.99,80.04,97.00,137.67,175.74,223.30,258.44
7,Vietnamese,Southeast Asia,1,Tháng Tư Là Lời Nói Dối Của Anh,Pop,2017,2010s,532.45,111.17,133.93,192.84,252.82,332.77,391.71
8,Vietnamese,Southeast Asia,1,Duyên Phận,Bolero,2007,2000s,537.21,95.59,120.41,177.91,234.09,294.47,334.64
9,Vietnamese,Southeast Asia,1,Cát Bụi,Pop,1997,1990s,479.49,127.04,155.36,218.63,274.25,333.84,369.86
10,Vietnamese,Southeast Asia,1,Trốn Tìm,Pop,2021,2020s,410.38,86.23,114.15,173.20,232.77,301.21,344.27
11,Thai,Southeast Asia,1,Your Heart for My Number,Pop,2012,2010s,699.03,211.75,254.84,356.43,440.90,532.79,586.92
12,Thai,Southeast Asia,1,Kor Hai Muen Derm (Be The Same) ,Pop,2000,2000s,453.17,103.86,126.64,183.02,236.06,294.81,329.57
13,Thai,Southeast Asia,1,Made in Thailand,Rock,1984,1980s,418.67,131.13,162.11,230.67,283.57,329.42,355.23
14,Thai,Southeast Asia,1,Prik Kee Noo,Pop,1991,1990s,622.68,237.24,272.44,367.73,441.85,509.22,546.16
15,Lao,Southeast Asia,1,Tha Bork Huk,Rock,2020,2020s,509.83,129.34,161.08,235.99,305.98,382.18,429.28
16,Lao,Southeast Asia,1,May She Be Kind,Pop,2023,2020s,456.56,107.75,133.43,192.72,253.48,325.62,368.29
17,Lao,Southeast Asia,1,Som lok som huk,Pop,2016,2010s,461.76,108.90,135.39,195.55,251.38,317.90,361.89
18,Lao,Southeast Asia,1,Eaneay Saimornung,Pop,2013,2010s,491.23,141.25,173.40,239.76,295.70,353.57,389.46
19,Mandarin,East Asia,1,Wo Men Bu Yi Yang,Pop,2017,2010s,630.61,141.85,180.32,267.58,351.66,458.31,525.71
20,Mandarin,East Asia,1,Re Ai 105°C De Ni,Pop,2019,2010s,595.98,134.98,177.94,266.26,355.76,466.37,518.97
21,Mandarin,East Asia,1,Tian Mi Mi,Folk,1979,1970s,548.37,103.81,129.99,189.39,254.11,352.08,424.61
22,Mandarin,East Asia,1,Nothing to My Name,Rock,1986,1980s,595.74,94.87,120.22,175.62,229.04,301.49,351.66
